page,review_title,review_text,rating
1,Make you sleep good,"I’m a very hormonal person so this really help me to balance, I’ve took a few other brands but this magnesium is truly beneficial and it absorbs well it help me for sleep good and after my workout it help me for a relax muscle and joints, I see a lot of benefits on my body and my humor the package is not that big but I feel it last forever I’ve been taking this for over two months",5.0
1,Super Magnesium,"quality size ingredient....I will be using this product for the first time..... Let's see if it is as effective as they say...I saw the content of this product in this brand. I don't understand how this company sells it, but as far as I know it is new.",5.0
1,Great bone support,"I purchased this highly-absorbable Magnesium for my mother to help address her specific needs, particularly bone support and muscle comfort. The chelate/glycinate form is gentle on her stomach, and she is using this as a foundational mineral for maintaining strong bone density as she ages. She also finds that taking it in the evening helps with muscle relaxation and promotes a much calmer, deeper night's sleep, which is essential for her overall well-being. This is a high-quality, trusted product for foundational health.",5.0
1,"Excellent Quality Magnesium Lysinate Glycinate for Muscle, Joint, and Sleep Support","I’ve been using magnesium lysinate glycinate high absorption for several weeks now and I’m very satisfied with the quality. The ingredients feel clean and effective, without any unnecessary fillers. The size of each capsule is easy to swallow, which I really appreciate. I mainly take it for its magnesium content, and it delivers exactly what I need. The package is secure and well-labeled, making it easy to keep track of my dosage. One major benefit I’ve noticed is reduced joint stiffness and much better muscle recovery after workouts. My sleep has also improved, becoming deeper and more restful. Since magnesium is a key mineral for overall health, I feel good knowing it also supports hormone balance. There’s hardly any taste, which is great since I’m sensitive to aftertastes. Overall, it’s been a noticeable improvement in my daily well-being and I’ll definitely continue using it.",5.0
1,The best!,"This is one of the best, if not the best, brand of Magnesium Glycinate. I have tried other brand but I sticked to this one because not only is it economical, it is also effective.",5.0
1,Good,"Doctor’s Best High Absorption Magnesium works nicely! it feels gentle on your stomach, helps ease muscle cramps, and many people find it improves sleep and relaxation. The tablets are reliable for boosting magnesium when your diet doesn’t give you enough. If you take it responsibly (not too much), it can be a solid addition to a healthy routine.",5.0
1,,"I've been taking High Absorption Magnesium (100 mg per tablet) for a few weeks now, and it's made a noticeable difference. My muscle cramps have reduced, sleep quality improved, and I feel generally more relaxed, especially in the evenings. No stomach issues like I’ve had with some other magnesium supplements. I take two tablets in the evening, and it's been working great. Definitely planning to keep it in my daily routine.",5.0
1,Great product!,"Doctor’s Best High Absorption Magnesium uses a quality ingredient that’s easy to absorb. The tablet size is comfortable to take, and the package is sturdy and well-sealed. I’ve noticed clear benefit in better sleep, less muscle tension, and smoother joint recovery. Since magnesium is an essential mineral for hormone balance, it feels supportive overall. There’s no noticeable taste, which is a plus.",5.0
1,,⭐️⭐️⭐️⭐️⭐️ Helps Me Sleep Better and Feel Relaxed! I started taking this magnesium supplement and noticed a big improvement in my sleep quality. I feel more relaxed at night and wake up with more energy. It’s also helped reduce muscle cramps after workouts. Easy to swallow and no side effects so far. Definitely a great addition to my daily routine!,4.0
1,Great!!,"I’m taking it for the last two years and I’m feeling great but I need every time I love this brand and I love the quantity the size is pretty nice it’s super small the quality is great it really helps the musicians and for my nails and skin, have no taste, easy to take!",5.0
1,Good and Quality Sleep,"I received the package in good condition and the bottle is fully sealed. This Magnesium supplement is really important to help my body boost more energy and also to help me to have quality sleep. The ingredients, taste and size are enough for me. I have noticed also that this supplement helps me to build muscles and minimize my joint problem.",5.0
1,High-Quality Magnesium Chelate (but check the size),"This is an cost-effective and high-quality Magnesium supplement. The 240-tablet count is a great value and lasts a long time. The chelate form is gentle on the stomach and effective for nervous system support and relaxation. But be aware that the tablets are quite large. For anyone who has trouble swallowing large pills, this could be a significant problem.",5.0
1,good quality magnesium,"i like the big package that lasting for a very long time , the size of the capsules are not too big and easy to use , without any weird taste , i feel that this is very helpful with my menstrual cramps , i don't know how much it helps with sleep but with muscle pain i feel relief",5.0
1,Product Review: High Absorption Magnesium,"High Absorption Magnesium from Doctor's Best is a premium dietary supplement designed for optimal health. Each tablet contains 100 mg of 100% chelated lysinate glycinate magnesium, ensuring high absorption without gastrointestinal distress. The quality ingredients support muscle relaxation, restful sleep, and overall nerve function, making it a great addition to any diet. With a recommended serving size of one tablet daily, the 240-tablet package offers excellent value for long-term use. This vegan, non-GMO, gluten-free formulation is perfect for those seeking enhanced wellness and support for over 300 biochemical functions. Highly recommended for anyone looking to improve their magnesium intake!",5.0
1,Review of High Absorption Magnesium,"I started taking High Absorption Magnesium and I am very pleased with the results. This supplement effectively relieves muscle cramps after workouts and helps me fall asleep faster. I've noticed a significant improvement in my well-being, and I recover better after physical exertion. I recommend it to anyone looking for an effective solution to support muscle health and improve sleep.",5.0
1,,"Thank you very much for this product, it suited me, I like the packaging, comfortable and stylish, I will order more of these products, and recommend them to all my friends and relatives! good!!",5.0
1,Amazing,Iherb is my go to in buying trusted brands. The quality and quantity of this product is great for me. Extremely happy with my purchase. Prompt with delivery also.,5.0
1,,"Doctors Best Magnesium is a high-quality supplement with a clean and well-balanced composition. It is easy to take and effective in supporting muscle and nerve function. The packaging is sturdy, practical, and professional, reflecting the premium quality of the product.",5.0
1,Good,"Taste good in salads use it safely size of the quantity and quality is quite small but it’s beneficial for diet include all ingredients needed for cooking and composition recommendation package looks good and healthy, i highly recommend it for you try it with all your salads",5.0
1,,Great quality magnesium. My whole family loves it because it helps us to sleep better during night time and we feel less tired during the day. Magnesium is very important to our body and we love this brand.,5.0
2,Quality,Doctor best has amazing product lines and when it comes to magnesium glycinate of which I try to take nightly. This one is good quality and amazing results.,5.0
2,Best on the market,I think this Mg is the best one in the market. I take 2-3 capsules before I go to sleep and it does the job. You won't regret buying this one.,5.0
2,Good Value of Money,I been using these product quite long time already. My sleep routine change and i have always been energized after taking it. It’s also help me with muscle cramps. And the best part is compare to other brand price is reasonable.,5.0
2,Great,"The quality good and the ingredient 10/10 aging well and the packaging was perfect and the benefits within days I noticed it, it effect and improved my diet and the taste kinda good",5.0
2,,"Magnesium Glycinate (also known as Bisglycinate) is believed to offer superior availability of Magnesium to the body. It is intended to provide nutritive support for normal, healthy, muscle function",5.0
2,,"Very relaxing, especially in stress times. I take one before sleep, it helps me a lot. It has a strange sweet taste, but it really doesn't matter.",5.0
2,Highly Absorbable and Effective,Magnesium Glycinate is the superior form of Magnesium that everyone should take. For increased sleep quality and many other health benefits. This one offers a good dose of high quality Magnesium Glycinate.,5.0
2,Perfect!,"The magnesium glycinate tablets arrived on time, well-packaged, and are easy to take. I’ve noticed improved sleep quality and less muscle tension since starting them.",5.0
2,A must for everyone!,I tried taking magnesium when I saw a lot of Medical videos stating the good effect it has for the body. It really does help in muscle relaxant. My sleep was better. I will continue to do my research and this is a good start,5.0
2,A must have,This really helps me have better sleep every night. When I was taking this twice a day it caused me having diarrhea so I recommend taking this at night like before bed.,5.0
2,Very good,One of the best quality ingredients magnesium. It has good dosage and I can see benefit for my nerves system. Good package. I can sleep better and deeper.,5.0
2,G,Easy to use and very great quality the size is medium and perfect for a bag packageing is easy to use it the perfect for age 20-50 the color is also nice and the ‎‏ And it moisturize very well,5.0
2,It works,"Good form of magnesium. I’ve noticed improved sleep, reduced muscle cramps, and better overall energy. Easy to swallow and gentle on the stomach—definitely a great addition to my wellness routine.",5.0
2,A must in your vitamin cabinet!,"The best value in price and quality! I can’t stress enough how much magnesium glycinate is needed and this brand delivers. My recover after the gym, my sleep at night, blood pressure perfect and I just feel much more mellow in general.",5.0
2,"Simple Supplement, Real Results","I’ve been taking this magnesium—100 mg per tablet, 240 tablets in a bottle—for a little while and it’s quietly made a real difference.",5.0
2,Im reordering it now,I love the quality of the ingredients i feel the effects after 3 days .. im sleep improves The magnesium i will definitely recommend in my family and friends,5.0
2,High Absorption Magnesium Lysinate,"This product contains high absorption magnesium lysinate glycinate chelate which provides essential support for muscles, nerves, sleep quality, and mood improvement. Easy to open package, and a two pill dosage.",5.0
2,"Doctor's Best, High Magnesium,","""I'm a big fan of Doctor's Best Magnesium, Their packaging is convenient and easy to take on-the-go. Plus, the neutral taste makes it easy to incorporate into my daily routine. I highly recommend it for boosting immunity and maintaining overall health.""",5.0
2,Magnesium Glycinate,"Night time staple of mine. Doctor’s Best is a well-absorbed formula. Glycinate is the preferred form of the all important mineral Magnesium, especially for sleep support and muscle recovery while being easy on digestive system. You might consider a higher dose if you’re targeting higher therapeutic levels. Overall good priced and effective large pills.",5.0
3,Helps me sleep throughout night,"I started taking magnesium mainly to help with sleep and muscle tension — and it’s honestly one of the most underrated supplements I’ve tried. Within a week or so, I noticed I was falling asleep faster and staying asleep more consistently. My sleep feels deeper and more restorative now, which is a huge win.",5.0
3,,I find magnesium citrate to be just as effective for sleep and relaxation. But if your seeking different effects from the bond with the glycinate maybe this will work better for you,4.0
3,Good buy!,"It really works! Very good quality of magnesium glycinate supplement. It helps decrease anxiety and promote my sleep. Also after the gym, it helps minimize muscle cramps and spasms. The only cumbersome thing, is the big pill size which might not be convenient for some people. The pills taste sweet though!",5.0
