page,review_title,review_text,rating
1,Very large pills and strong taste,"I thought these were tablet versions but these were large pills, I have to cut them in half and quarters. The coating on them burn my throat so it’s difficult for me to take. The taste is very strong when cut. I wouldn’t recommend for people that are sensitive to larger pills.",2.0
1,Did not suit me,"I should have stuck with the Mag i was taking before. This made my eyes and throat dry, not to mention the pills got stuck in my gi tract! Thought with all of the reviews this would be a good product, but you get what you pay for. I will have to gift the bottle to someone as I’ve only taken a few.",1.0
1,Never buy again,"This is what a pill looks like dissolved in water, not to mention Magnesium Bisglycinate, more than half are excipients. It has no effect, a waste of time and money!",1.0
1,do your research,"I did not sleep well at all last night. I thought this type of magnesium supplement works on improving sleep quality, but it did not work for me. The following day, I had a bad tummy ache. maybe its just me but I've noticed others with a similar review. please do research before trying this.",1.0
1,Horrible,"I had high heart rate, anxiety attacks and couldn’t sleep at all! It was a horrible experience for me and can’t do it again, I tried it for one week and im sure all the symptoms caused by this supplement. A word of advice, don’t buy it and the size of the pill causes nausea and stomach burns",1.0
1,It comes nearly expiry date,"Description Science-Based Nutrition™ Lysinate Glycinate 100% Chelated Muscle Relaxation & Sleep Support Albion® Minerals 200 mg Per Serving Dietary Supplement Non-GMO Gluten Free Soy Free Vegan At Doctor's Best, our high absorption magnesium is the ultimate multitasker, crucial for a range of bodily functions. Our specialized magnesium formula provides essential support for muscles, nerves, sleep quality, and maintaining a balanced mood. Essential in 600 enzyme systems that support biochemical functions. Up to 6x better absorbed than other forms of magnesium. TRAACS® chelate technology from Albio",1.0
1,Grippy pill??,"I've never had a problem swallowing Magnesium pills until this one. Not only is it large, but it's got a sticky coating on it for some reason that grabbed on to the back of my throat and a few seconds later, I ended up heaving until vomiting. Washing off the coating just exposes a rough, scratchy surface that's not much better. I ended up dissolving the next few pills to drink but gave up and just found a different brand/coating.",1.0
1,I can’t swallow these pills,"I’ve tried many different forms of pills, but none is as bad as this one. The pills are huge, not smooth like a capsule, and it has a horrible taste. I had to throw my product away. In the image comparing to a normal capsule",1.0
1,Still don’t see a progress but,"My doctor told me to take it cuz I’ve deficiency that caused me to have sleepless nights for almost 3 years , I didn’t see any benefit in my sleeping schedule but it really helped in my bowl movement it makes my poop regular , when it comes to taste it’s not bad the size of the pill is nice the package was good and last thing my body could not handle taking 2 pills per serving the dose of the ingredient is too high on my body so my doctor told me to take one pill per day",2.0
1,Not a fan,"Tablets are too big to swallow and cause loose stools, have only experienced that with a citrate or oxide, also caused bloating and gas. Now I have a huge bottle I don’t want to use.",2.0
1,Very Hard to Swallow,"I bought this Magnesium because it was so highly reviewed, I think it was even in the top two of its category, and it seemed really promising. I don’t usually have trouble swallowing pills, and the size itself is fine, not overly large. But the texture/feel of this pill makes it surprisingly difficult to swallow. It doesn’t go down smoothly with water and often feels like it gets stuck, almost “sharpish” in a way. I was honestly surprised, since this isn’t usually an issue for me. Because of that, I wouldn’t repurchase it. Other than that, the product does show results if you are deficient.",2.0
1,Decent Magnesium Supplement but Didn’t Deliver Expected Benefits,"I recently tried Doctor's Best High Absorption Magnesium (200 mg per serving) with the hope of improving deep sleep and alleviating foot cramps for myself and restless leg for my partner. While the product itself seems well-formulated and provides half of the daily recommended magnesium intake, we didn’t experience the benefits we were looking for. After consistent use, there was no noticeable improvement in our sleep quality or in my foot cramps. It's possible that the dosage wasn’t sufficient for our specific needs, but based on our experience, this supplement didn’t meet our expectations. If you're looking for a magnesium supplement to support sleep or muscle health, you might want to try other options on Iherb. I wouldn’t purchase Doctor's Best Magnesium again or recommend it for these specific purposes.",2.0
1,It’s not capsule,"The quality is OK, but it would be better if it was in a capsule and not in a top form the ingredients I’m not sure of it. The size is big. Her magnesium is good for the health. But it’s benefit it must help the joint sleep muscle. And hormone. I’m not sure about the mineral nor taste. The package is fine.",1.0
1,,"I’m well experienced with magnesium glycinate, this one gives me diarrhea. the tablet is pretty big which is unpleasant. I was expecting a lot more.",1.0
1,Way too big to swallow,"Great quality item; ingredients are what I was looking for; good price and quality. The only problem is that they are way too big to swallow. If in a capsule form, maybe it will be easier, but not as they are right now. I ordered the 240 tablets bottle and had to give it away. I wish they came in a smaller tablet size.",1.0
1,gives me a hangover.. damages myelin sheath?,"I used to take Now's magnesium transporters which has a few types of magnesium. it has worked well in helping me sleep. Anyway, read that the glycinate version is pretty highly recommended. so, decided to try this one out. Will edit review if necessary after using it. edit: i hv been taking this occasionally at night. but I observed that I wake up feeling groggy and foggy. then I read that the glycine might damage your myelin sheath. thinking of throwing this away. do anyone else feel the same hangover feeling as me? pls like the review if you do. I want to know if it is just me",2.0
1,It is fine,"I was looking for Glycinate one but I ordered this in mistake that says lysinate... I think glicinate chelated is best for me. So I am ordering one without ""lysinate"". The tablet is a little big. This one is my third purchase of the same brand. I just ordered a different kind this time. I think this takes time to take effect since I sometimes feel muscle pains and legs cramps at night. Sleep is okay. Joints soso.",2.0
1,It was a horrible experience for me!,This Magnesium gave me a weird feeling after I took the first capsule and after 5 days of use I had very bad anxiety and heart palpitations and my blood pressure was dropped slightly and I felt dizziness and weakness. I stayed in the bed the whole day so I stopped taking it and the second day I started feel better.,1.0
1,Difficulty swallowing,"I wanted to love these due to the high ratings across so many nutrition platforms but the tablets are large, irregularly shaped, and difficult to swallow. I have never had this issue with a supplement before. I also did not find my sleep as restful as with the prior brand I was using. I ended up requesting a refund after almost choking on the pills numerous times.",2.0
1,Very very hard to swallow,"The pill is HUGE and isn’t coated with anything, so it literally gets stuck in my throat every time I take it and I feel it there all night. Not sure it does anything for my sleep, I sleep horribly even though the bottle is almost finished and I’ve been taking them every day.",2.0
2,"Very hard to swallow, won’t re-purchase",I don’t know if it is the shape of the pills because i swallow my other pills just fine but for some wierd reason these pills make me gag and now i tense up everytime i need to take them. I won’t be repurchasing because of this.,2.0
2,big capsule,"These tablets are very very difficult to swallow , they are very big and not rounded or coated . I'm even thinking of throwing them away, every evening i get frustrated trying to swallow them.",1.0
2,too big - no difference,the pills are way too big to swallow and since its 2 pills per serving its annoying and i didn’t notice any difference and i’ve been taking them for almost 3 weeks,2.0
2,Hard to swallow,I would have preferred a softgel. It is very hard to swallow. I tried breaking it into two but the sharp edges make it difficult to swallow as well. Sad to throw away the whole bottle as I bought it on a recommendation from a good friend.,1.0
2,Prefer another brand,"I prefer the California Gold Magnesium bisglycinate to these. I use this supplement to help with sleep, joint pain and reducing cramps from exercise. These are slightly larger and leave a faint chalky taste in your mouth if you don't swallow them immediately. I found them slightly difficult to swallow at times. The beneficial effects and the quality of the ingredients itself are there, but I won't re-purchase this brand. I will return to the CG version.",2.0
2,Very hard to swallow,"I am day three with these tablets and they are very hard for me to swallow - the combination of them being very big and very dry (without any outside capsule) makes it very hard to swallow them. This is. the first time I'm experiencing this issue with supplements, usually I don't have problems.",2.0
2,Should come with a warning,"I had the worst reaction to this product - nightmares, sleep paralysis, low blood pressure, heart palpitations, anxiety, dizziness, vomiting and diarrhoea. I've taken magnesium for years but as soon as I switched to this brand, all these issues started. I cannot believe I could have such a negative reaction, I felt like someone had spiked my drink! Proceed with caution.",1.0
2,Tastes bad & really hard to swallow,"I bought this as a replacement for the magnesium tablets that I was buying from iHerb that got discontinued, and I really hate this. They’re extremely hard to swallow. They get stuck in my throat every time I try to swallow them because of how big they are they also taste really bad so every time I take them, they trigger my gag reflex, which makes them even harder to swallow. I don’t really recommend them!!",1.0
2,Disppointed by side effects and size,"I have IBS-D and was looking for a magnesium supplement that would be easily absorbed and wouldn't have side effects on my GI . I thought I had found it with this brand. Unfortunately, even just 1 pill during breakfast (out of the 2 that are recommended as a daily intake) immediately gave me cramps and diarrhea. Plus, the pills are quite big and hard to swallow, even if they can be split in halves. I'm extremely disappointed. I won't buy it again and will keep looking elsewhere for high tolerance magnesium.",1.0
2,not good,"i purchased this product as i need something to calm me and help me fall asleep during the night, alas this product was the opposite of what i'm looking for, keeps me up and irritable, as soon as i stopped using this product all symptoms are gone, magnesium is an excellent supplement but defiantly going to look for a pure quality product where glycine is the only amino acid and no questionable ingredients or flow agents, not recommended.",1.0
2,Not satisfied,"Digestion wise Amazing very beneficial and good for muscles, but you have to swallow it first. The taste is really strong i didn’t like it.",2.0
2,Unable to swallow these,I’ve never had a problem swallowing supplements but I’m unable to swallow these. Even when cut in half. Surely it must be the coating.,1.0
2,Tablets size far too big,I bought these because of the ingredients and having tried my best to take them for two weeks I can no longer tolerate the size of the pills and the nightly discomfort of trying to swallow them. They are so big they get stuck and have repeatedly made me gag. Much larger than any other capsules I’ve tried. Plus you have to take two a day. Would not recommend for this reason.,1.0
2,Too chalky and hard to swallow,I normally like this brand but these pills were huge and awkward shaped and impossible for me to swallow. They are not well coated and very very chalky. I could not swallow them although I have successfully taken larger pills that had a smoother shape and better coating. I reordered a different brand that came in gel coated capsule form which I find very easy to swallow and it's been very effective. I would not recommend these for anyone with any sensitivity to swallowing larger pills.,1.0
2,"Absolutely horrible, terrible anxiety","This supplement caused the worst anxiety for me. Within 20 minutes of taking it my heart rate went up significantly, I started shaking, got nauseous and jittery. I waited a week and took it again just to make sure and the same thing happened, even worse. I don't recommend this.",1.0
2,Too big to swallow,"I'm quite disappointed I didn't read before the few negative feedbacks because there you find the actual description of the product: the tablets are somehow too big to swallow, they are not smooth so they even make a grip. Some of them are humid... I cannot say about the quality... Didn't see a real improvement so far.",2.0
2,Hard to swallow and small amount,"It was much harder to swallow than most vitamins I take, surprisingly so as my multivitamin is bigger and easier. Almost threw up a few times. Also, it says 200 mg of magnesium in serving, and then you see serving size is 2 pills and they even recommend 4 pills daily. But it is sorta hidden and unclear- meant to make you think it’s 200 mg a pill.",1.0
2,HUGE tablets,"As the title explains, these tablets are HUGE, making swallowing them an incredibly uncomfortable experience, bordering on being a choking hazard. That in itself would've been a dealbreaker for me, but that's not the only issue. The tablet began dissolving the moment it touched water in my mouth, exuding a horrible taste. The whole point of pills is that you don't have to feel the taste of the medication, which defeats the purpose. Overall, I took one pill and immediately regretted my life choices. Do not recommend.",1.0
2,Horse pills,"I have never had issues with pill size. I can swallow multiple pills at a time, depending on what they are. These babies are BIG and chalky and I really have to concentrate to get them down. Sometimes it takes two tries. Super unpleasant. I also have been having sleep issues and it turns out that mag glycinate, in certain people, can do exactly the opposite of what we're looking for. I'm going to stop taking them and see what happens. These are probably going into the bin.",2.0
2,,"Not as effective as my last order… Doctor’s Best is one trusted brand for me , but somehow, i am not getting results as before",2.0
3,no slippery coating????,surprises have such a high review. The tablets don't have any smooth slippery coating. they are rather chalky and get stuck and I choke on them trying to swallow them ... pretty insane,2.0
3,"Not great, horrible pressure headache","I only took two of these last night, and started getting a pressure headache. I'm still feeling it today. UGH. Don't think I will continue using. It could just be coincidence, but seemed to come soon after taking them. I also didn't feel very sleepy/relaxed as I have with other brands.",1.0
3,very hard to swallow,I think they’re effective and the formula is accurate but I’ve never struggled in my entire life to swallow pills more than with these. The chalky coating makes it hard to slide it down. I tried cutting them in halfs but it’s still nearly impossible on the first try.,2.0
