page,review_title,review_text,rating
1,Upset Stomach,This product did not work for me - it gave me severe digestion issues so I had to stop using it. I think the concentration was too high for my body to handle.,1.0
1,Not recommended,The colour and effectiveness of product expires very fast. Within 1-2 months the colour of the vitamin c capsules became brown. Quality is very bad. Could be because of the packaging. No immunity power after that.,1.0
1,Ascorbic acid and magnesium sterate,"Ascorbic acid as vitamin C supplement is a horrible choose, after digest, human body can only absorb 5% as the form of vitamin C the body can use. It also has magnesium sterate, an nerve destroying anti-caking ingredient. Do yourself a favor, don't damage your body with garbage like this.",1.0
1,Gave me bad headaches,I don’t know if it’s my fault but it kept giving me headaches and I asked ChatGPT and it said that it might be too much of a dose to handle,2.0
1,I have sensitive stomach,"After taking it on empty stomach, I had severe abdominal pain, the I drink a lot of water just to soothe the pain. Maybe I need lower dose or another anti-acidic type. I trust this brand and other supplements from California Gold Nutrition are great and I can tolerate them.",2.0
1,fair,it wasn't that good to be honest i changed my mind about this company,2.0
1,,"I really love shopping from iHerb! 🛍️ They have a huge variety of products — skincare, vitamins, supplements, snacks, and so much more. Everything comes well packaged, original, and always fresh. The prices are reasonable, and I love that they often have discounts and promo codes. 💚 Shipping is usually fast and reliable, and I’ve never had any problem with my orders. Honestly, iHerb is one of my favorite online stores — I always find what I need there! 🌿✨",2.0
1,High-Quality Vitamin C with No Stomach Issues,"I’ve been using California Gold Nutrition’s Gold C for a few weeks, and it’s been a great addition to my daily routine. The 1,000 mg dose of USP-grade vitamin C is exactly what I need for immune support, and I appreciate that the veggie capsules are gentle on my stomach. I’ve tried other high-dose vitamin C supplements in the past, but I’ve never had any issues with digestive discomfort or acid reflux with this one. I’ve been feeling more energetic, especially during seasonal transitions, and the 60-capsule bottle is a solid value for the price. Definitely recommend if you’re looking for a reliable and well-dosed vitamin C supplement.",2.0
1,Just Average Vitamin C,"I’ve already tried and reviewed other Vitamin C products, and compared to those, this one is just fair. The quality is not bad, but it doesn’t feel as pure or as well-made as brands like NOW Foods, which keep their formulations cleaner and more reliable. The ingredients are straightforward, and the dosage at 1000 mg per capsule is standard, but there isn’t anything that makes this product stand out. The size of the bottle (60 veggie capsules) also makes it a short supply if you’re taking it daily, which reduces its overall value. Overall, it does the job as a Vitamin C supplement, but there are definitely better options on the market if you want both quality and value.",2.0
1,hmm,"quality is good. The ingredients are tolerable. The size is fine. The dosage are not too high, which is fine and I haven’t noticed much of a change, but you might benefit from it a bit as for making you calm or more focused it doesn’t really reduce your stress or grant you peace and calm nerves",2.0
