page,review_title,review_text,rating
1,Hives,"Ugh, I’m disappointed to say but this product caused me to break out into hives which in turn creates a vicious cycle with my eczema. I have a lot of food sensitivities and allergies as of late some partially due to my gut issues. I know I have a shellfish allergy and I made sure to check the label to ensure all ingredients were clean, however, something caused me to have a reaction. I tried a fish oil from a different brand and it worked out much better for me. Unfortunately, this wasn’t it for me. I gave it to my mom.",1.0
1,There is better options,"Good size for the price and well-packaged, arrived sealed and intact. Supports general wellness and heart health, but the omega-3 content per serving is relatively low compared to other options. Ingredients are clean and clearly listed. Easy to take with no strong fishy taste. Feels suitable for light daily support, though higher-dose omega-3 products may be more effective.",2.0
1,Too big!,"The capsules are huge and hard to swallow. Not sure if it made an effect for me. It might have, but I wont be purchasing this again because it was just so hard to take it everyday. Also I didnt like the fishy aftertaste that I would have for the rest of the day.",1.0
1,Too big to swallow,The softgel capsule is way too big and hard to swallow. I always struggle to get it down my throat. The reviews are all so positive here that I can't help but wonder if I'm the only one having trouble with it.,2.0
1,I don't know,I feel I get a bad aftertaste when I take them even when with food. I don't know why. But I believe the ingredients should be top shape however didn't work for me. Maybe I wanted higher quality and more pure form. I felt that this was a good idea to test out. But certainly not gonna order again. Package was great however.,2.0
1,Essential,"Good price & quality for the package Although ingredients as EPA & DHA are a bit low. Omega , fish oil are ok. No taste, easy to swallow.",2.0
1,Upset tummy,"Unfortunately, this product upset my tummy quite a bit. I do suffer from IBS & IBD so it may be the reason, so just a warning for people with sensitive tummies to check with practitioners if this supplement and dosage is adequate.",2.0
1,Didn’t notice any benefits,"I got depressive symptoms when being on this supplement. I tried different omega 3 high quality brands and saw benefits and great results. This one didn’t suit me maybe its the form of fish oil or the overall quality of product, but definitely felt much worse on this fish oil supplement.",1.0
1,Label vs. Supplement Fact,"I purchased this product last August 10, 2025. I just found out in the label in front it says: 180 mg EPA and 120mg DHA. But in Supplement Facts: EPA 360mg DHA 240mg What it the FACT? Please enlighten us.",2.0
1,Stinks and bad burps,"Fish oil as it is, storage is important else it will go rancid faster than you could imagine. Has a very fishy smell upon open (because of oxidization, I live in tropical area where hot weather is persistent) and would gives you one of the worst fish-smell burp. I will not come back for this ever again.",2.0
1,Just don’t,I took it as part of a bundle but honestly I didn’t like it or like the smell of it so I stopped taking it,1.0
1,No,I hate this brand I hate the packaging feels ugly hate the quality hate the taste like the worst omega 3 fishy taste like ew didn’t help me at all like my hair and everything NOTHING I don’t recommend it there a lot better brands there that actually care about the quality of the ingredients,1.0
1,Near expiry,The date near expiry The date near expiry The date near expiry The date near expiry The date near expiry The date near expiry The date near expiry The date near expiry The date near expiry,1.0
1,Meh,"Ahhh, man, I feel like this product isn't good for me, I keep getting dry mouth all the time ever since I got it... and my eyes so super dry even though omega 3 supposed to help with dryness of the eye I don't know what to think anymore... I guess I'm gonna try somethin' else when this is finished or maybe not, it might be like when you drink coffee for the first time for a whole week always dehydrated till your body get accustomed to it and stop all that pee-ing",2.0
1,Side effects???,"Took as recommended, 2 capsules, and immediately I had headache & feeling nauseous. Slight palpitations. Too early to abandoned it but will try just 1 capsule and see how that works.",1.0
1,Much inferior to kd-pur version,"After trying the kd-pur version, I wanted to give this one a try. This is definitely inferior quality to the kd-pur version at the same price point per (DHA+EPA). Overall, it's a much worse deal for me. While kd-pur version reduces my body inflammation and joint pain, this one makes me itchy and causes my muscles to tense and my joints to hurt.",1.0
1,Did not pass the test,"As a simple test to see the Omega 3 quality is just to simple froze a pill for a day, if the pill is frozen then is a low quality product, meaning that it does not contains enough fish oil, sad this product did not pass the test as it was compleately frozen.",1.0
1,Not for every stomach,"The overall quality and ingredients seem decent, and the packaging is fine, but this omega-3 didn’t work well for me. The fish oil itself feels a bit heavy, and my stomach didn’t tolerate it comfortably. I also noticed that absorption may vary a lot — it doesn’t seem suitable for everyone, especially if you’re sensitive to fish oil supplements. Because of digestion issues, I wouldn’t repurchase, even though the product might work for others.",2.0
1,I'm skeptical about this product,I don't know if this product really worked or not could not find any difference,2.0
1,Not worth the spend,I don't think these are worth buying. I did not find them helpful in any way.,1.0
2,Not the best,For the price is fair for a better quality product there’s a better choice,2.0
2,Clean and Effective Omega-3,These fish oil softgels are easy to take and have no fishy aftertaste. Great for heart and joint health.,2.0
2,Κάτω του μέσου όρου,I bought this omega for a friend. It didn’t work for her — she gets an unpleasant fish aftertaste and some burping after taking it.,2.0
2,,"I love shopping from iherb! They have a wide variety of Korean and Japanese products, from skincare to fashion. The quality is always great and the prices are affordable. Shipping takes some time, but it’s totally worth the wait!",2.0
2,Pill is huge,To be fair I did not use it for a long time to notice results yet! But the pill is HUGE! That’s ridiculous and very hard to swallow!!!,2.0
2,,I tried it for two times and I feel ZERO benefits The package isn’t helpful The taste is horrible especially that the capsule isn’t solid,2.0
2,not TG form and has fish after taste,was using it for a while but had the fish after taste till i discovered same brand with TG form that is much better for absorption and ni after taste,2.0
2,Jordan,Very goooooooooooood1000 Very usful very nice very will usful usful Very goooooooooooood1000 Very usful very nice very will usful usful Very goooooooooooood1000 Very usful very nice very will usful usful,1.0
2,Fish Oil Fail!,"I would not recommend taking this fish oil supplement. I did some research and most doctors now recommend distilled fish oil supplements. Due to mercury content, it's better to invest in a distilled fish oil instead!",1.0
2,,"The product is good, but I haven’t noticed a big change yet. • The bottle is smaller than expected for the price, but quality is fine.",2.0
2,good,"Each softgel provides 1,100 mg of omega-3, a convenient and effective dose. The capsules are easy to swallow with minimal aftertaste. I noticed better heart support, improved joint mobility, and overall wellness after regular use.",2.0
2,,"The ingredients of the acids in this product is really very low according to what the human body needs, packaging is good, benefits and quality i am not sure of the effect",2.0
2,Not effective,It’s not good product because have low value it’s just 180 EPA and 120 DHA you need take a lot of capsules and if you get a lot the product will be now very expensive.,2.0
2,,"I tried California Gold Nutrition, Omega-3 Premium Fish Oil, 100 Fish Gelatin Softgels, but I wasn’t satisfied. The capsules are large and had a slight aftertaste. I didn’t notice much difference while using them.",2.0
2,,I just don't understand the fuss about the fish oil - didn't notice even the slightest improvement in my health whatsoever... or maybe it's the brand's fault...,1.0
2,over 2 years old and rancid,This stuff you sent me is over 2 years old. I get disgusting fish tasting burps and actually fish oil is maximum 2 years good for. The burp I'm describing is a sign the oil is rancid and actually causes inflammation. how can a product over 2 years old be sold to me as fresh?,1.0
