page,review_title,review_text,rating
1,Bad Taste,"The capsules I received have a burnt, bitter, yeasty taste that I can't get past. I'm especially disappointed because I bought the largest box based on other reviews saying the pills had no taste. I'm also experiencing more gas since starting them a week ago. The individual packaging is good, but I'll have to find a different probiotic.",2.0
1,Rancid smell,"I have been using this brand of probiotic for several months. I have never noticed an odor with these capsules previously. This package smelled rancid, almost skunk-like, and I ended up throwing the rest of the capsules away. I suspect the product was exposed to heat or a warm warehouse? Whatever the case may be, I'm switching brands for my next purchase.",1.0
1,,"I’ve been ordering from iHerb for a while now and I’m always happy with my experience! The products are 100% authentic, well-packaged, and usually delivered on time. I love the wide variety of items, especially supplements and skincare products. Prices are reasonable for the quality. Highly recommended! 🌿✨",2.0
1,Didn't work for bloating,"I've been suffering with IBS and was recommended this probiotic. It had zero effect on me, and didn't benefit my bloating nor constipation. I also tried oil of oregano, berberine and ginger tablets. Only the oregano worked, but nothing major. Maybe this supplement is benefitting my body in other ways, who knows. I'm going to finish it so it doesn't go to waste. The pills have a neutral taste.",1.0
1,Probiotics for gastrointestinal problems,"I was advised to get a probiotic supplement to help my digestion issues and support a healthy microbiome. My gut issues were limited to bloating and I had no constipation issues. The package is big enough, so I split it with my partner. The ingredient description, quality, and size seemed good, the pills have no taste, but I also did not experience any benefits. After 30 pills, I noticed no improvement. It is likely that probiotics generally have very low effect.",2.0
1,"California Gold Nutrition, LactoBif® 30 Billion CFU","Despite its promising probiotic count, this product falls short in effectiveness and quality. The strains used are not as potent as expected, and many users report minimal digestive benefits. The capsule size is manageable, but the packaging does not guarantee optimal freshness. The composition lacks diversity in probiotic strains, making it less effective compared to higher-quality alternatives.",1.0
1,worst body reaction,"After taking it for a week I noticed my bowel movement was reduced, I am usually constipated so it got worst. I didnt understand whats happening and continued taking it, after another week I started feeling pulled muscles and tightness in my shoulder and neck muscles. No matter how long I slept and took good rest it didnt go away. There was wierd pain in my wrist and arm when using mouse while I worked. Finally, after few more weeks my whole body started aching in wierd ways and I was at my worst. Please listen to your body and stop taking it if you experience similar symtoms. I dont know its the quality or its my body not accepting it but I am afraid of trying anymore probiotics :(",1.0
1,Severe nausea and no benefits !,"Ive been taking probiotics for over 25 years . This is the first and only time that I've had issues with a Probiotic. These ones not only made me severely nauseous, they also had zero benefits in any regard including keeping me regular. Horrible product and iherb wouldn't even refund.",1.0
1,,"I tried California Gold Nutrition LactoBif® 30 Probiotics for my SIBO, but unfortunately, it didn't help. This supplement contains 8 active probiotic strains, including Lactobacillus and Bifidobacterium species, which are generally beneficial for gut health. However, in my case, it didn't alleviate symptoms associated with SIBO. It's possible that the specific strains or dosage weren't suitable for my condition. I would recommend consulting with a healthcare professional before starting any new supplement, especially for conditions like SIBO.",2.0
1,meh,ok quality for a decent supplement basic ingredients haVe not seen any difference in digestion no matter how much i consume the size of the package is good for traveling and easy to swallow,2.0
1,Gave me rash,"My experience using this product has not been very pleasant or successful though I'm not entirely certain what the causes are. Firstly, I started taking this since I heard probiotics are good for the gut and we should ideally be consuming them on a regular basis. Since I'm working on my sleep quality I thought probiotics could generally help improve my wellbeing. I read that consuming a higher dose of probiotics was more effective when starting our hence ordering this 30 billion CFU product. The package size, price and quality were great. But on day 3 or 4 of consuming one capsule a day I started to get a rash around my watch where I've never had rash before. Changing my watch to the other wrist also resulted in flare ups the next day. Though I experienced additional gas my overall digestion was not particularly impacted. But my skin would itch a lot in response to very minor irritation which I had not gotten prior to consuming these probiotics. I'm not sure if the dose is too high for me, or if the particular strains being used are causing histamine reactions, or if my body's baseline inflammation is already high. In short this just didn't work for me and I had to stop consuming it. It's been 5 days and I'm still waiting for the rash and itchiness to go away. Perhaps starting with a much smaller dose or 5 billion CFU and choosing for non-histamine producing strains would have been smarter but I'm not sure my body agrees with this product.",2.0
1,,"I experienced a little gut discomfort, like a slight flatulence. Did not order again.",2.0
1,Don't work,"I don't think there are live bacteria there, after they stay on the shelf for so long and get shipped. Usually, when I take probiotics, it makes me burp a little bit, and I go to the toilet better. These don't do anything at all, I think.",1.0
1,,"The product is good, but I haven’t noticed a big change yet. • The bottle is smaller than expected for the price, but quality is fine.",2.0
1,Ineffective,I had high hopes for this probiotic but it unfortunately didn’t help me at all. I felt no improvements after taking it compared to other probiotics.,1.0
1,caused bloating,"never in my life did I feel bloated as I was when taking these probiotics, I don't know what it is but seems like they are not for my gut... packaging was nice with individual pill separated in aluminium casing",2.0
1,Not the best probiotic,"I tried this once on a sale, but didn't perceive any benefit. The probiotic market is really crowded, but there have been a few more advanced products released in the past couple years that have really helped with gut health and regularity. This was not one of them. I guess everyone is different, but I think you get what you pay for with probiotics.",1.0
1,,"I determine the quality of a supplement and its ingredients based on its effectiveness within the first week. Absorption is great, digestion was fine however I felt either the level of bacteria either was too low or too high. Therefore I don’t feel it has been a great buy for me as the product above did basically nothing for me and that’s my genuine opinion.",2.0
1,Average,"If if I want to be fair, this probiotic is very basic probiotic if you want to start with and it helps growing better immune system",2.0
1,I don’t recommend this product without prior consultation,"I bought these probiotics in order to minimise potential side effects of taking antibiotics. Unfortunately, I don’t find this product suitable for me. After taking it I feel nauseous and weak. It feels like I have bricks in my stomach. Maybe the dosage is too high for me, and the problem is not the product itself",1.0
2,hmmm,I don’t think this is the best quality of probiotics. I haven’t specifically understood the ingredients but I haven’t seen the benefits that everyone is saying when taking a probiotic supplement maybe it is just not for me. no Taste easy to swallow no gut or digestion results.,2.0
2,,"I had high hopes for this probiotic, but unfortunately, I didn’t notice any improvements in digestion or gut health. The capsules are easy to take, and the ingredients seem good, but it just didn’t make a difference for me. Might work better for others, but I won’t be repurchasing.",1.0
2,I really wanted to love it,"I really wanted to love it, i believe it is high quality and has good ingredients, but the size of the capsules was really big for me to handle. Also it made my stomach ache and gave me some digestive issues… it might’ve been something of the beginning of use, but i just couldn’t keep going. I hope one day i might go back and have the benefits.",2.0
2,Mediocre Results with LactoBif 30,"""My experience with California Gold Nutrition's LactoBif 30 Probiotics has been average. While the size and dosage are convenient, I did not notice any significant improvements in my digestive health after using the product for several weeks. The quality of ingredients seems good, but the overall impact was not as strong as I expected for a 30 billion CFU probiotic. It's a fair supplement, but I believe there are better options out there that deliver more noticeable results.""",2.0
2,,Did not work on me and I got candidiatis a few days after starting it so idk,2.0
2,Side effects,"Decided to give it a try given that the product has more than 140,000 reviews and an average of 4.7 stars. However, I took 1 and it gave me a really bad headache and I was bloated for the entire day.",1.0
2,Silica! Do not use!,How they can sell this with Silica is beyond me. I took these and got extremely sick. Worst hardening and bloat of stomach. Never went away. Researched the products in here. Histamine and poison. Caused acne and unbearable stomach pain. Don’t bother. Buy organic Kerfir.,1.0
2,causes constipation and makes me bloated!!,Not sure why it is causing me so much discomfort. But after eating this I got so constipated and bloated all the time. Would NOT recommend this product to anyone,1.0
2,Didn´t work for me,"I felt no difference while using these, will not buy again.",2.0
2,,After using it my bowel movements were reduced. Once stopped it went back to normal,1.0
2,The capsules smell stinky,"I'm not sure if only on my packs, but the capsules smells bad and stinky. :(",1.0
2,Pro-biotic,"It seems not work to me, cannot improve my testine health.",2.0
2,,Didnt noticed any difference although i used it for 3 months,1.0
2,bad bad,the worst make me go to toilet every 10 minutes I dont like it,1.0
2,average,"packaging is a waste, should have just bought in a bottle",2.0
2,,The packaging is good but one must doubt if these probiotics are really useful. Does it have positive to the gut?,2.0
2,,I did not see any change when took those pills .,2.0
2,weird smell,"I used to purchase this probiotics countless times, but I find out that it now has weird manufacture factory smell all of the sudden.",2.0
2,Didn’t like it,I used it daily but didn’t see any improvement,1.0
2,,"Bad storage, very hot it seems no A/c and the weather degree is 45",1.0
3,Didn’t see much of the result,"Didn’t really see much of the result. After taking it because of the stomach discomfort, I still was experiencing the same symptoms",2.0
3,It doesn’t help me at all,It’s not good at all and it doesn’t help me even little bit,1.0
3,Hard to swallow,All capsules are hard to swallow for me they get stick in my throat,2.0
3,,Didn’t feel any change It was a waste of money,1.0
3,This stuff messed me up,I took these for 3 weeks and got more ill by the week until I figured out what it was. 5 weeks on and my insides are still messed up!,1.0
3,The Quality is different compared to Amazon,"I had to order here because it’s sold-out in Amazon, however there is a difference in taste. It tastes like ants or old stock; I have to cringe every time I drink it. I would not order here again.",2.0
3,Not for me,I have since seen a specialist that recommended specific pro biotics to me after doing a stool test so this was not suitable for me,2.0
3,This product used to be good,"I’ve bought and used this for my ibs and it was good when I was taking it. But recently on 2 occasions, the quality seems to have diminished. I’m afraid I’m will no longer be inclined to purchase this.",1.0
3,bloating and digestive issues still remains same,it's been a week and I didn't notice any results. I still see bloating and digestive issues. Ihave ordered it from India and its nothing worth it for me,1.0
3,Helped digestion,"Helped with my gut and poo issues, took it once a day for a week. And it helped kickstart my gut after experiencing constipation. Genuinely saw a difference, it takes a few days to kick in but really good",2.0
3,,"I have not noticed much of a difference to be honest. The amount of probiotics on the package look fair, but I haven't notice much change.",2.0
3,Usual probiotic.,"Best taken with a fiber supplement. Small size, packaging isn't my favorite as I usually prefer a bottle. But I feel like it absorbs well and helps with gut health.",2.0
3,Morocco,yes quality and ingredient and size and supplement and package and nice benefit and good digestion and active microbiome and perfect absorption and got strong gut and eliminate the constipation and paste every thing in it is good and taste is delicious,1.0
3,Good to have,"Ordered 30billian , but seems not work on me. I normally poo once per 3-4 days… after taking this doesn’t poo more. Guess need to get a better version",2.0
3,Didn't work as expected,"I'm finishing my first box now. I was expecting that this lacto would help me evacuate regularly, which didn't happen. I may try the option of 65/100 billion. But the 30 one didn't work as expected.",2.0
3,Disappointing,"Didn't really help with my gut issues, the 60 version was much better. Also, extremely expensive for what they are, so poor value. Disappointed.",2.0
3,Doesn’t work for me,"I feel like regular kefir is much better than this. I had it for a couple of months, and it feels like placebo. Don’t recommend.",1.0
3,I had the worst experience,"After my 3rd or 4th pill (wasn’t continuous daily intake , I used to take two weekly) I had a very bad uncontrolled diarrhea. I suddenly found myself wet 💔 couldn’t even control it or go to the restroom before it happens! It just happened without any awareness! I was luckily at home. Cannot imagine the embarrassment if it would happen at work or at the gym 😭. Here’s what happened, took one pill in the evening. Went the next morning to the gym. After warming up I felt I wanted to poop but I couldn’t. Felt I wanted to vomit and also couldn’t! Felt a lot of pain in my tummy. I had to train with all of this discomfort. I went back home (had couple of poops) and after several hours I had the diarrhea. Please be careful ❤️ before I get it I saw very positive feedback about it. If it works for the most it wouldn’t necessarily work for you.",1.0
