page,review_title,review_text,rating
1,Life Extension Complete B complex,"only took product for 4 days, the stearic acid on the pills, caused an allergic reaction and had to stop taking it. Not likely to order again as they do not agree with my stomach",2.0
1,Bioactive Complete B-complex,First time taking this capsule. I've been urinating bright yellow colored urine. Never have this kind of side effects this is but it's not looking good. DO NOT BUY THIS PRODUCT. IHERB DENIED ME OF MY REFUND.,1.0
1,,"This is the first time trying out a Complete B-complex supplement, but this really tastes weird. Not sure if that is supposed to be for any brand on Complete B-Complex....Didn't manage to complete the bottle and no, will not attempt for second purchase again.",1.0
1,Too much Pyridoxine and B5!,"This has too much pyridoxine. I had a blood test and found my levels of B5 and B6 were significantly above the normal range. I initially thought it might contain active pyridoxal, but it seems the pyridoxal content is very low. The manufacturer cleverly omits the ratio from ingredients list to mislead customers. Studies have shown that excessive pyridoxine can block the absorption of active pyridoxal, leading to nerve damage. I didn't got any niacin flush. My urine was yellow but that effect of riboflavin and expected. It also has some kinda milky smell. Overall good supplement but I only gave 2 starts due to toxic ammount of pyridoxine and not mentioning the ratio of pyridoxine and pyridoxal",2.0
1,Have acne-prone skin? BEWARE!,"These might be good for someone without acne prone skin, BUT if you are not one of the lucky ones -watch out! After just a few days of intake it broke me out all over the face. This is the only new thing in my overall routine, so I'm curtain it's the B complex, unfortunately 😔",2.0
1,useless,I am taking these vitamins since there's no benefit or better change nothing,1.0
1,B complex sine caps are SMALLER than others!,It is ok and complete they contain methyl cobalamine not cyanocobalamine which is hard to find elsewhere. For somereason some pills are SMALLER than others? So what’s the dose in those?,2.0
1,Way too strong,I didn't realise when purchasing but this B complex has way too high levels of certain B vitamins and is not good quality for regular use. It contains the cheaper synthetic form ingredient of B6. I do not recommend this B complex and suggest finding one with the correct forms of B vitamins especially methyl folate rather than foolic acid that is not dangerously high. Taking this regularly can have a negative effect on the nervous system.,1.0
1,Dosage is huge,"The dosage in this B-complex is way too high! It makes me feel mentally altered for several hours, almost like I'm slightly drugged. If ChatGPT is right, this might be due to brands competing to stand out on the shelf by appearing more ""potent."" I don't think it's necessary — I’d rather choose a cheaper and more balanced supplement.",1.0
1,Dosage of B6,The dosage of these tablets is FAR too high. You would end up with severe neuropathy due to the 100mg of B6 in this tablet. There was a report on the ABC interviewing a Dr of a hospital who was seeing severe side effects from people taking 50mg or higher. I will be asking to return it. Otherwise everything else is fine and I was looking for the supplement with folate which this does as folic acid is synthetic and not healthy.,2.0
1,Awesome,I bought these for my hair & nails but they give me so bad knees pain and I never had these before. It's awful. I should've also read the 1 star...2 star reviews before buying it :(,1.0
1,No results,"I have taking vitamin B complex before and could feel the improvement, not with this one . Overall brand is seems cheaply made , together I purchased other products from this brand and was disappointed with it",1.0
1,good,This is a great all-around supplement. Good quality. Size and package is perfect for 2 moth plan. Covers all the essential B vitamins in forms. Effect: I feel more energy and focused since taking it. Highly recommend. Be careful because it might cause pimple break outs for sensitive skins.,1.0
1,I have thrown it away,The dosage of all the vitamin Bs in this product is too high. I worried about liver health so I stopped taking,2.0
1,Very strong synthetic B formula,"Bought this based on reviews but found it to be too strong for me and partner...We are both fatigued and burned out and thought this would give us energy....He had a terrible reaction - shakes and heart pumping/palpitations and felt weak...I ended up with shakes, palpitations and vertigo from taking this....this was the only thing we did differently and it was same day we took our first dose of 1 capsule only.....I would say this is probably ok for people who are already in a general good health condition....they are not fatigued or deficient in any way....this formula is super strong...will definitely give you energy but could for some people cause reactions like we had....so be cautious with high strength Bs....if you are an athlete or energetic person with good energy levels, can sleep soundly, not overly cold or hot person, is good tempered etc then OK but if you are trying to boost your energy because of chronic fatigue, menopause etc I would use a more gentler natural form of Bs like Paradise Herbs B formula....or better still go see a natural medicine doctor, Chinese doctor and get proper assistance.",2.0
