product_id,product_name,rating,review_title,review_text,word_count,text,label,sentiment
64009,LactoBif,1,never again,"it caused me constipation. so instead of good effect, it only caused problems. really disappointed",15,"never again it caused me constipation. so instead of good effect, it only caused problems. really disappointed",0,negative
61865,VitaminC,5,Good value,Product is authentic! Also great value for money. Cheaper than other products with same effect. Used this at the start of flu/cold. Seems okay.,24,Good value Product is authentic! Also great value for money. Cheaper than other products with same effect. Used this at the start of flu/cold. Seems okay.,1,positive
64009,LactoBif,1,Makes me tired... Milk products???,"I hoped these would be good, but they made me feel tired. That usually means there's something in there that isn't good for me. I wonder if it has milk products in it.",33,"Makes me tired... Milk products??? I hoped these would be good, but they made me feel tired. That usually means there's something in there that isn't good for me. I wonder if it has milk products in it.",0,negative
16567,Magnesium,2,It did not satisfy me,"The quality is excellent, the quantity is good, and the packaging is secure. For a week now, I have not noticed any benefit for the body or sleep",28,"It did not satisfy me The quality is excellent, the quantity is good, and the packaging is secure. For a week now, I have not noticed any benefit for the body or sleep",0,negative
67051,VeganVitaB,1,B complex,Good quality and ingredients and size and dosage with huge benefits and taste good,14,B complex Good quality and ingredients and size and dosage with huge benefits and taste good,0,negative
61865,VitaminC,5,Great.,Good quality. It boost your immunity.an antioxidant and taste is just mild so its good for stomach and it doesnt givr you more acidity.The ingredients are so natural. this is my 3rd time purchasing this vit.,36,Great. Good quality. It boost your immunity.an antioxidant and taste is just mild so its good for stomach and it doesnt givr you more acidity.The ingredients are so natural. this is my 3rd time purchasing this vit.,1,positive
62118,Omega,2,No particular change.,"I'm vegan Even though I didn't take fish oil, I was healthy, but I tried it. There is no change. The fact that meat and fish don't need to be taken if the body doesn't want it! Capsule is large and soft so it needs to be refrigerated!",48,"No particular change. I'm vegan Even though I didn't take fish oil, I was healthy, but I tried it. There is no change. The fact that meat and fish don't need to be taken if the body doesn't want it! Capsule is large and soft so it needs to be refrigerated!",0,negative
64009,LactoBif,4,Deal with bloat,"Packaging is high quality for me , i feel less bloat after dinner since i take this supplement and no more constipation.",22,"Deal with bloat Packaging is high quality for me , i feel less bloat after dinner since i take this supplement and no more constipation.",1,positive
16567,Magnesium,4,good magnesium,magnesium helps me relax in the evening and get a good nights sleep.,13,good magnesium magnesium helps me relax in the evening and get a good nights sleep.,1,positive
67051,VeganVitaB,2,"Complete, but it didn't do me any good.",It is complete and cheap. But I had to stop taking it because of intolerance to some ingredient that I couldn't identify.,22,"Complete, but it didn't do me any good. It is complete and cheap. But I had to stop taking it because of intolerance to some ingredient that I couldn't identify.",0,negative
64009,LactoBif,5,Most effective for Gut and Bowel Imbalance - great for travelling with,Excellent product with High cfu and quality double wrapping. Advantage it does not need to kept in Refrigerator. This probiotic stablizes the bacteria in the gut.  At 76 I am a new uesr to probiotics but have found LactoBif 30 to be an excellent choice. Already on re-ordering.,48,Most effective for Gut and Bowel Imbalance - great for travelling with Excellent product with High cfu and quality double wrapping. Advantage it does not need to kept in Refrigerator. This probiotic stablizes the bacteria in the gut.  At 76 I am a new uesr to probiotics but have found LactoBif 30 to be an excellent choice. Already on re-ordering.,1,positive
16567,Magnesium,1,Why change color?,It turns into ivory when I eat it. What is the reason?,12,Why change color? It turns into ivory when I eat it. What is the reason?,0,negative
61865,VitaminC,1,The most unsuccessful form of vitamin C,"I took a share for $ 1 to keep in reserve just in case. The form of the vitamin here is ascorbic acid. This is the cheapest and most common form. It irritates the stomach lining and is not recommended for people with gastritis, stomach ulcers and other gastrointestinal problems. Yes, and the dosage here is shock - 1000 (in case of the onset of the disease), but for every day, 500 or 750 is enough. For myself I use a non-acidic form of ascorbate with bioflavonoids",87,"The most unsuccessful form of vitamin C I took a share for $ 1 to keep in reserve just in case. The form of the vitamin here is ascorbic acid. This is the cheapest and most common form. It irritates the stomach lining and is not recommended for people with gastritis, stomach ulcers and other gastrointestinal problems. Yes, and the dosage here is shock - 1000 (in case of the onset of the disease), but for every day, 500 or 750 is enough. For myself I use a non-acidic form of ascorbate with bioflavonoids",0,negative
62118,Omega,5,Trusted by our family,"'ve been using California Gold Nutrition Omega-3 regularly for the past few years, and it has consistently delivered on its promise of high-quality omega-3 supplementation. Their commitment to quality has made it a trusted choice for maintaining my overall health, and I highly recommend it to others looking for a reliable and long-term omega-3 supplement. The bottle is big. The one thing, noticed if I'm taking the capsule without any food in my stomach I have the fishy burp after. So I'm taking it right before or after food.",89,"Trusted by our family 've been using California Gold Nutrition Omega-3 regularly for the past few years, and it has consistently delivered on its promise of high-quality omega-3 supplementation. Their commitment to quality has made it a trusted choice for maintaining my overall health, and I highly recommend it to others looking for a reliable and long-term omega-3 supplement. The bottle is big. The one thing, noticed if I'm taking the capsule without any food in my stomach I have the fishy burp after. So I'm taking it right before or after food.",1,positive
67051,VeganVitaB,4,Good Value,"After trying a variety of b complex brands, I've settled on this one. Looking at the ingredients it is comparable with more expensive brand names. I appreciate the form of B12 that is used as well as folate. I'm still unsure about the stearic acid that is used in the ingredients, and will have to do further research",58,"Good Value After trying a variety of b complex brands, I've settled on this one. Looking at the ingredients it is comparable with more expensive brand names. I appreciate the form of B12 that is used as well as folate. I'm still unsure about the stearic acid that is used in the ingredients, and will have to do further research",1,positive
61865,VitaminC,4,Good quality vitamin,"I like that I only need to take just one a day. However, the capsule is a lil bigger than I thought",22,"Good quality vitamin I like that I only need to take just one a day. However, the capsule is a lil bigger than I thought",1,positive
61865,VitaminC,5,Good vitamin C,"Good quality vitamin c supplement to boost immune system for a great price. Easy to swallow, no taste",18,"Good vitamin C Good quality vitamin c supplement to boost immune system for a great price. Easy to swallow, no taste",1,positive
16567,Magnesium,5,It works!,Taking 2 pills whenever I am tense and cannot fall asleep. It takes 30 mins for me to feel relaxation in my muscles and then I can sleep within an hour.,31,It works! Taking 2 pills whenever I am tense and cannot fall asleep. It takes 30 mins for me to feel relaxation in my muscles and then I can sleep within an hour.,1,positive
67051,VeganVitaB,4,Liked it,"I used this B vitamin for a while from Life Extension. Life Extension is like a good brand. I like them. They're not my favorite. It's unfortunate that they have silicon dioxide in this, but overall the quality of the ingredients is good. The size of the pills and, you know, I did feel a little bit of energy. It definitely does not give you a nice and flush. You don't have to worry about that. I would recommend it. Like most people are short in some B vitamins overall, but I'm not going to be taking it daily. It's going to be something I might cycle on and off of.",111,"Liked it I used this B vitamin for a while from Life Extension. Life Extension is like a good brand. I like them. They're not my favorite. It's unfortunate that they have silicon dioxide in this, but overall the quality of the ingredients is good. The size of the pills and, you know, I did feel a little bit of energy. It definitely does not give you a nice and flush. You don't have to worry about that. I would recommend it. Like most people are short in some B vitamins overall, but I'm not going to be taking it daily. It's going to be something I might cycle on and off of.",1,positive
67051,VeganVitaB,1,bad reactions,when I take the even less than half of tablet straight away I was very red and feeling bad I go emergency please be careful,25,bad reactions when I take the even less than half of tablet straight away I was very red and feeling bad I go emergency please be careful,0,negative
16567,Magnesium,1,Didn't live up to expectations,"Despite the rather large size of the tablets, it was difficult to finish the entire jar. Much to my disappointment, no effect was noticed either during the pills or after that. After the usual asparkama, the effect is better. Draw your own conclusions.",43,"Didn't live up to expectations Despite the rather large size of the tablets, it was difficult to finish the entire jar. Much to my disappointment, no effect was noticed either during the pills or after that. After the usual asparkama, the effect is better. Draw your own conclusions.",0,negative
16567,Magnesium,2,Relaxing,"The box is a good size and the quantity is good. Frankly, it is comfortable. I take it before bed if I feel tired. It is soothing, after God.",29,"Relaxing The box is a good size and the quantity is good. Frankly, it is comfortable. I take it before bed if I feel tired. It is soothing, after God.",0,negative
61865,VitaminC,4,"Good, but cause stomach upset","Packaged well. Bottle size was as expected. Pill size wasn't a problem. But the potency of the ingredients cause both of us to have diarrhea within 30 min of taking it. We think it could have helped with our immunity if we continued, but we stopped taking it because of it's effect on our stomachs.",55,"Good, but cause stomach upset Packaged well. Bottle size was as expected. Pill size wasn't a problem. But the potency of the ingredients cause both of us to have diarrhea within 30 min of taking it. We think it could have helped with our immunity if we continued, but we stopped taking it because of it's effect on our stomachs.",1,positive
64009,LactoBif,2,Average,"If if I want to be fair, this probiotic is very basic probiotic if you want to start with and it helps growing better immune system",26,"Average If if I want to be fair, this probiotic is very basic probiotic if you want to start with and it helps growing better immune system",0,negative
62118,Omega,2,Below average,"I don't know how good this concentrate is, the smell is tough, the belching is fishy all day ... We drank better and cheaper",24,"Below average I don't know how good this concentrate is, the smell is tough, the belching is fishy all day ... We drank better and cheaper",0,negative
67051,VeganVitaB,5,Boosts energy,"The quality of the capsules are very good, i take after lunch and it helps with metabolism and calms the nervous system",22,"Boosts energy The quality of the capsules are very good, i take after lunch and it helps with metabolism and calms the nervous system",1,positive
67051,VeganVitaB,2,Very high dosages,"The dosages are very high. I don't recommend it; it's better to take the vitamins separately. Otherwise, the quality is good.",21,"Very high dosages The dosages are very high. I don't recommend it; it's better to take the vitamins separately. Otherwise, the quality is good.",0,negative
62118,Omega,1,Important warning,"Beware: It is very harmful. It contains saturated fats, which are of no benefit at all. Beware of the trick: 500 milligrams of saturated fats and 600 milligrams of unsaturated fats.",31,"Important warning Beware: It is very harmful. It contains saturated fats, which are of no benefit at all. Beware of the trick: 500 milligrams of saturated fats and 600 milligrams of unsaturated fats.",0,negative
16567,Magnesium,2,Large Pills,"Very large pills, I can hardly swallow. And tastes a little nasty.",12,"Large Pills Very large pills, I can hardly swallow. And tastes a little nasty.",0,negative
62118,Omega,1,This omega caused my cholesterol to increase.,"After this product, my cholesterol level increased, and when I took it, fish belching appeared; after stopping the drug, my cholesterol returned to normal after three weeks according to the tests.",31,"This omega caused my cholesterol to increase. After this product, my cholesterol level increased, and when I took it, fish belching appeared; after stopping the drug, my cholesterol returned to normal after three weeks according to the tests.",0,negative
61865,VitaminC,4,Vit C,Value for money. bought it for my trip because it is also vegetarian. so far so good. no stomach upset issue as i always eat after food. quality wise cant tell but should be okay. size wise easy to swallow.,40,Vit C Value for money. bought it for my trip because it is also vegetarian. so far so good. no stomach upset issue as i always eat after food. quality wise cant tell but should be okay. size wise easy to swallow.,1,positive
62118,Omega,5,Good,"Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,",17,"Good Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,Good,nice,woow,good,very good,",1,positive
61865,VitaminC,1,Very good,"Vitamin C is needed all year round, so I'm trying this one this time. I use it without worrying about the taste and smell. I am very happy to be able to try it at this price with 1000mg.",39,"Very good Vitamin C is needed all year round, so I'm trying this one this time. I use it without worrying about the taste and smell. I am very happy to be able to try it at this price with 1000mg.",0,negative
